######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      5.4232421
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  4.4085229      1.0673685      4.0470268      -0.9275332   3.9553e-01  1.15076       RM     
  4.4085229      0.8394243      4.0470268      -0.7370011   4.7855e-01  1.13897       RM     
  4.4085229      0.6552378      4.0470268      -0.5812421   5.5920e-01  1.12731       RM     
  4.4085229      2.2478751      4.0470268      -2.0146601   1.3337e-01  1.11576       RM     
  4.4085229      2.0350582      4.0470268      -1.8427989   1.5837e-01  1.10433       RM     
  4.3774536      -0.0310693     4.0470268      -1.8427989   1.5837e-01  1.09302       AF     
  4.4915847      0.1141311      4.0470268      -0.1054989   8.9988e-01  1.08182       AM     
  4.4915847      1.9339173      4.0470268      -1.8061487   1.6429e-01  1.07074       RM     
  4.4915847      1.7433940      4.0470268      -1.6450634   1.9300e-01  1.05977       RM     
  4.5383104      0.0467257      4.0470268      -0.0445466   9.5643e-01  1.04892       AM     
  4.5383104      0.8722441      4.0470268      -0.8401719   4.3164e-01  1.03817       RM     
  4.5383104      0.6141429      4.0470268      -0.5976832   5.5008e-01  1.02754       RM     
  4.5383104      0.3434952      4.0470268      -0.3377487   7.1337e-01  1.01701       RM     
  4.7197485      0.1814381      4.0470268      -0.1802491   8.3506e-01  1.00660       AM     
  4.8792747      0.1595263      4.0470268      -0.1601210   8.5204e-01  0.99629       AM     
  6.5501502      1.6708755      4.0470268      -1.6944614   1.8370e-01  0.98608       AM     
  4.6034730      -1.9466772     4.0470268      -1.6944614   1.8370e-01  0.97598       AF     
  6.3716702      1.7681972      4.0470268      -1.8304645   1.6034e-01  0.96598       AM     
  6.3705124      -0.0011578     4.0470268      -1.8304645   1.6034e-01  0.95609       AF     
  5.3111482      -1.0593642     4.0470268      -1.8304645   1.6034e-01  0.94629       AF     
  5.1651986      -0.1459497     4.0470268      -1.8304645   1.6034e-01  0.93660       AF     
  5.1651986      0.5353220      4.0470268      -0.5774730   5.6132e-01  0.92701       RM     
  5.1130278      -0.0521708     4.0470268      -0.5774730   5.6132e-01  0.91751       AF     
  5.1130278      0.7882004      4.0470268      -0.8679531   4.1981e-01  0.90811       RM     
  5.1130278      1.1368267      4.0470268      -1.2648102   2.8229e-01  0.89881       RM     
  5.3447380      0.2317102      4.0470268      -0.2604640   7.7069e-01  0.88961       AM     
  5.1111545      -0.2335835     4.0470268      -0.2604640   7.7069e-01  0.88049       AF     
  4.1571868      -0.9539677     4.0470268      -0.2604640   7.7069e-01  0.87147       AF     
  5.7416904      1.5845036      4.0470268      -1.8370050   1.5929e-01  0.86255       AM     
  5.1656418      -0.5760486     4.0470268      -1.8370050   1.5929e-01  0.85371       AF     
  5.1656418      1.6419558      4.0470268      -1.9432182   1.4324e-01  0.84497       RM     
  6.4109187      1.2452769      4.0470268      -1.4890097   2.2560e-01  0.83631       AM     
  6.3331726      -0.0777461     4.0470268      -1.4890097   2.2560e-01  0.82775       AF     
  4.4477274      -1.8854452     4.0470268      -1.4890097   2.2560e-01  0.81927       AF     
  4.4477274      1.7977675      4.0470268      -2.2170711   1.0893e-01  0.81087       RM     
  4.9920767      0.5443493      4.0470268      -0.6782586   5.0750e-01  0.80257       AM     
  5.5180683      0.5259916      4.0470268      -0.6621676   5.1573e-01  0.79435       AM     
  4.7149273      -0.8031410     4.0470268      -0.6621676   5.1573e-01  0.78621       AF     
  4.7149273      1.1357070      4.0470268      -1.4594808   2.3236e-01  0.77816       RM     
  4.7149273      1.2883925      4.0470268      -1.6728300   1.8772e-01  0.77019       RM     
  4.5853918      -0.1295355     4.0470268      -1.6728300   1.8772e-01  0.76230       AF     
  4.5853918      0.8753970      4.0470268      -1.1602503   3.1341e-01  0.75449       RM     
  4.5853918      0.5825080      4.0470268      -0.7800457   4.5839e-01  0.74676       RM     
  4.9900896      0.4046977      4.0470268      -0.5475457   5.7837e-01  0.73911       AM     
  4.9964509      0.0063613      4.0470268      -0.0086958   9.9134e-01  0.73154       AM     
  4.9964509      1.0508936      4.0470268      -1.4514142   2.3424e-01  0.72405       RM     
  4.7196419      -0.2768090     4.0470268      -1.4514142   2.3424e-01  0.71663       AF     
  4.7196419      0.8745937      4.0470268      -1.2330536   2.9140e-01  0.70929       RM     
  4.4821452      -0.2374967     4.0470268      -1.2330536   2.9140e-01  0.70203       AF     
