######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      1.3477545
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  1.3144062      -0.0598850     1.3054736      -0.0608617   9.4095e-01  1.12731       AF     
  1.3486957      0.0342895      1.3054736      -0.0307320   9.6974e-01  1.11576       AM     
  1.3959918      0.0472961      1.3054736      -0.0428279   9.5808e-01  1.10433       AM     
  1.3867483      -0.0092434     1.3054736      -0.0428279   9.5808e-01  1.09302       AF     
  1.3362609      -0.0504875     1.3054736      -0.0428279   9.5808e-01  1.08182       AF     
  1.3654570      0.0291961      1.3054736      -0.0272672   9.7310e-01  1.07074       AM     
  1.3573427      -0.0081143     1.3054736      -0.0272672   9.7310e-01  1.05977       AF     
  1.3289346      -0.0284082     1.3054736      -0.0272672   9.7310e-01  1.04892       AF     
  1.3499971      0.0210625      1.3054736      -0.0202880   9.7992e-01  1.03817       AM     
  1.3302558      -0.0197412     1.3054736      -0.0202880   9.7992e-01  1.02754       AF     
  1.3437357      0.0134799      1.3054736      -0.0132543   9.8683e-01  1.01701       AM     
  1.3357933      -0.0079424     1.3054736      -0.0132543   9.8683e-01  1.00660       AF     
  1.3714587      0.0356654      1.3054736      -0.0357984   9.6483e-01  0.99629       AM     
  1.3612110      -0.0102477     1.3054736      -0.0357984   9.6483e-01  0.98608       AF     
  1.3703320      0.0091210      1.3054736      -0.0093455   9.9070e-01  0.97598       AM     
  1.3318969      -0.0384351     1.3054736      -0.0093455   9.9070e-01  0.96598       AF     
  1.3726130      0.0407161      1.3054736      -0.0425861   9.5831e-01  0.95609       AM     
  1.3235963      -0.0490168     1.3054736      -0.0425861   9.5831e-01  0.94629       AF     
  1.3041477      -0.0194485     1.3041477      -0.0425861   9.5831e-01  0.93660       AF     
  1.3542440      0.0500963      1.3041477      -0.0540408   9.4739e-01  0.92701       AM     
  1.3460334      -0.0082106     1.3041477      -0.0540408   9.4739e-01  0.91751       AF     
  1.3285717      -0.0174616     1.3041477      -0.0540408   9.4739e-01  0.90811       AF     
  1.3480096      0.0194378      1.3041477      -0.0216261   9.7861e-01  0.89881       AM     
  1.3469681      -0.0010415     1.3041477      -0.0216261   9.7861e-01  0.88961       AF     
  1.3366050      -0.0103631     1.3041477      -0.0216261   9.7861e-01  0.88049       AF     
  1.3274306      -0.0091743     1.3041477      -0.0216261   9.7861e-01  0.87147       AF     
  1.3424770      0.0150464      1.3041477      -0.0174441   9.8271e-01  0.86255       AM     
  1.3418820      -0.0005950     1.3041477      -0.0174441   9.8271e-01  0.85371       AF     
  1.3677614      0.0258794      1.3041477      -0.0306277   9.6984e-01  0.84497       AM     
  1.3582483      -0.0095131     1.3041477      -0.0306277   9.6984e-01  0.83631       AF     
  1.3395285      -0.0187198     1.3041477      -0.0306277   9.6984e-01  0.82775       AF     
  1.3341963      -0.0053321     1.3041477      -0.0306277   9.6984e-01  0.81927       AF     
  1.3708638      0.0366675      1.3041477      -0.0452197   9.5579e-01  0.81087       AM     
  1.3143349      -0.0565289     1.3041477      -0.0452197   9.5579e-01  0.80257       AF     
  1.3684809      0.0541460      1.3041477      -0.0681641   9.3411e-01  0.79435       AM     
  1.3691468      0.0006658      1.3041477      -0.0008469   9.9915e-01  0.78621       AM     
  1.3585352      -0.0106115     1.3041477      -0.0008469   9.9915e-01  0.77816       AF     
  1.4004921      0.0419568      1.3041477      -0.0544761   9.4698e-01  0.77019       AM     
  1.3367934      -0.0636987     1.3041477      -0.0544761   9.4698e-01  0.76230       AF     
  1.3501247      0.0133313      1.3041477      -0.0176692   9.8249e-01  0.75449       AM     
  1.3501247      0.0403943      1.3041477      -0.0540926   9.4734e-01  0.74676       RM     
  1.3299882      -0.0201364     1.3041477      -0.0540926   9.4734e-01  0.73911       AF     
  1.3902537      0.0602655      1.3041477      -0.0823815   9.2092e-01  0.73154       AM     
  1.3765214      -0.0137323     1.3041477      -0.0823815   9.2092e-01  0.72405       AF     
  1.3036716      -0.0728499     1.3036716      -0.0823815   9.2092e-01  0.71663       AF     
  1.3070352      0.0033636      1.3036716      -0.0047423   9.9527e-01  0.70929       AM     
  1.3419612      0.0349260      1.3036716      -0.0497503   9.5147e-01  0.70203       AM     
  1.3634583      0.0214971      1.3036716      -0.0309385   9.6954e-01  0.69483       AM     
  1.3726219      0.0091636      1.3036716      -0.0133247   9.8676e-01  0.68772       AM     
  1.3618953      -0.0107267     1.3036716      -0.0133247   9.8676e-01  0.68067       AF     
  1.3548395      -0.0070557     1.3036716      -0.0133247   9.8676e-01  0.67370       AF     
  1.3405146      -0.0143249     1.3036716      -0.0133247   9.8676e-01  0.66680       AF     
  1.3491437      0.0086291      1.3036716      -0.0130750   9.8701e-01  0.65997       AM     
  1.3700092      0.0208655      1.3036716      -0.0319431   9.6856e-01  0.65321       AM     
  1.3440633      -0.0259459     1.3036716      -0.0319431   9.6856e-01  0.64652       AF     
  1.3456861      0.0016228      1.3036716      -0.0025360   9.9747e-01  0.63990       AM     
  1.3053266      -0.0403595     1.3036716      -0.0025360   9.9747e-01  0.63334       AF     
  1.3418811      0.0365545      1.3036716      -0.0583142   9.4335e-01  0.62685       AM     
  1.3728736      0.0309925      1.3036716      -0.0499530   9.5127e-01  0.62043       AM     
  1.3479397      -0.0249339     1.3036716      -0.0499530   9.5127e-01  0.61408       AF     
  1.3362772      -0.0116625     1.3036716      -0.0499530   9.5127e-01  0.60779       AF     
  1.3167124      -0.0195648     1.3036716      -0.0499530   9.5127e-01  0.60156       AF     
  1.3398380      0.0231256      1.3036716      -0.0388405   9.6190e-01  0.59540       AM     
  1.3239149      -0.0159231     1.3036716      -0.0388405   9.6190e-01  0.58930       AF     
  1.3719828      0.0480680      1.3036716      -0.0824119   9.2089e-01  0.58326       AM     
  1.3896155      0.0176326      1.3036716      -0.0305437   9.6992e-01  0.57729       AM     
  1.3369260      -0.0526895     1.3036716      -0.0305437   9.6992e-01  0.57138       AF     
  1.3597889      0.0228629      1.3036716      -0.0404278   9.6038e-01  0.56552       AM     
  1.2916175      -0.0681714     1.2916175      -0.0404278   9.6038e-01  0.55973       AF     
  1.3374892      0.0458717      1.2916175      -0.0828012   9.2053e-01  0.55400       AM     
  1.3874910      0.0500018      1.2916175      -0.0911903   9.1284e-01  0.54832       AM     
  1.3256768      -0.0618142     1.2916175      -0.0911903   9.1284e-01  0.54271       AF     
  1.3834999      0.0578231      1.2916175      -0.1076484   8.9794e-01  0.53715       AM     
  1.3479198      -0.0355801     1.2916175      -0.1076484   8.9794e-01  0.53165       AF     
  1.3785362      0.0306164      1.2916175      -0.0581840   9.4348e-01  0.52620       AM     
  1.3145472      -0.0639891     1.2916175      -0.0581840   9.4348e-01  0.52081       AF     
  1.3272949      0.0127477      1.2916175      -0.0247300   9.7557e-01  0.51548       AM     
  1.3805641      0.0532692      1.2916175      -0.1044095   9.0086e-01  0.51020       AM     
  1.3280592      -0.0525049     1.2916175      -0.1044095   9.0086e-01  0.50497       AF     
  1.3611215      0.0330623      1.2916175      -0.0661515   9.3599e-01  0.49980       AM     
  1.3120696      -0.0490519     1.2916175      -0.0661515   9.3599e-01  0.49468       AF     
  1.3690571      0.0569875      1.2916175      -0.1163937   8.9012e-01  0.48961       AM     
  1.3729998      0.0039427      1.2916175      -0.0081361   9.9190e-01  0.48459       AM     
  1.3681533      -0.0048465     1.2916175      -0.0081361   9.9190e-01  0.47963       AF     
  1.3606449      -0.0075084     1.2916175      -0.0081361   9.9190e-01  0.47472       AF     
  1.3510775      -0.0095674     1.2916175      -0.0081361   9.9190e-01  0.46986       AF     
  1.3232862      -0.0277914     1.2916175      -0.0081361   9.9190e-01  0.46504       AF     
  1.3825837      0.0592976      1.2916175      -0.1288296   8.7912e-01  0.46028       AM     
  1.3787783      -0.0038054     1.2916175      -0.1288296   8.7912e-01  0.45556       AF     
  1.3744885      -0.0042899     1.2916175      -0.1288296   8.7912e-01  0.45090       AF     
  1.3453387      -0.0291498     1.2916175      -0.1288296   8.7912e-01  0.44628       AF     
  1.3661502      0.0208115      1.2916175      -0.0471160   9.5398e-01  0.44171       AM     
  1.3321588      -0.0339914     1.2916175      -0.0471160   9.5398e-01  0.43718       AF     
  1.3285343      -0.0036245     1.2916175      -0.0471160   9.5398e-01  0.43271       AF     
  1.3541083      0.0255740      1.2916175      -0.0597142   9.4203e-01  0.42827       AM     
  1.3616962      0.0075878      1.2916175      -0.0179006   9.8226e-01  0.42389       AM     
  1.3213628      -0.0403333     1.2916175      -0.0179006   9.8226e-01  0.41954       AF     
